Offence Group,Year,Count
THEFT,2013,219370
THEFT,2014,200028
THEFT,2015,204260
THEFT,2016,207823
THEFT,2017,225238
THEFT,2018,221878
THEFT,2019,253410
THEFT,2020,173134
THEFT,2021,186938
THEFT,2022,242697
THEFT,2023,289194
THEFT,2024,330754
VEHICLE OFFENCES,2010,78713
VEHICLE OFFENCES,2011,102964
VEHICLE OFFENCES,2012,95583
VEHICLE OFFENCES,2013,89280
VEHICLE OFFENCES,2014,81907
VEHICLE OFFENCES,2015,82632
VEHICLE OFFENCES,2016,89670
VEHICLE OFFENCES,2017,103914
VEHICLE OFFENCES,2018,112893
VEHICLE OFFENCES,2019,129196
VEHICLE OFFENCES,2020,109999
VEHICLE OFFENCES,2021,101815
VEHICLE OFFENCES,2022,110101
VEHICLE OFFENCES,2023,106872
VEHICLE OFFENCES,2024,102915
VIOLENCE AGAINST THE PERSON,2010,105950
VIOLENCE AGAINST THE PERSON,2011,129541
VIOLENCE AGAINST THE PERSON,2012,126894
VIOLENCE AGAINST THE PERSON,2013,122589
VIOLENCE AGAINST THE PERSON,2014,153946
VIOLENCE AGAINST THE PERSON,2015,181178
VIOLENCE AGAINST THE PERSON,2016,191687
VIOLENCE AGAINST THE PERSON,2017,200669
VIOLENCE AGAINST THE PERSON,2018,211518
VIOLENCE AGAINST THE PERSON,2019,222078
VIOLENCE AGAINST THE PERSON,2020,220165
VIOLENCE AGAINST THE PERSON,2021,251187
VIOLENCE AGAINST THE PERSON,2022,263471
VIOLENCE AGAINST THE PERSON,2023,269441
VIOLENCE AGAINST THE PERSON,2024,255002
